City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,tiksi,71.6872,128.8694,-12.620000000000005,94,100,2.26,RU,1698595929
141,morehead city,34.7229,-76.726,27.220000000000027,73,0,2.24,US,1698595928
142,tromso,69.6496,18.957,-1.9899999999999523,86,0,3.6,NO,1698595930
143,aasiaat,68.7098,-52.8699,-6.659999999999968,84,100,2.1,GL,1698595931
144,rongelap,11.1635,166.8941,28.420000000000016,71,92,9.64,MH,1698595931
145,namibe,-15.1961,12.1522,22.510000000000048,72,56,4.69,AO,1698595932
146,mugia,43.1041,-9.2179,14.390000000000043,67,74,8.4,ES,1698595932
147,aykhal,66.0,111.5,-19.99999999999997,95,100,4.61,RU,1698595933
148,rio grande,-32.035,-52.0986,32.06,74,17,2.5,BR,1698595933
149,klyuchi,52.2667,79.1667,-1.1299999999999955,94,97,3.27,RU,1698595934
150,mount pearl,47.5166,-52.7813,9.689999999999998,70,56,4.92,CA,1698595934
151,popondetta,-8.7537,148.2534,23.03000000000003,90,97,1.09,PG,1698595935
152,sechura,-5.5569,-80.8222,24.230000000000018,64,100,4.97,PE,1698595935
153,thompson,55.7435,-97.8558,-5.21999999999997,73,84,3.13,CA,1698595936
154,ta'izz,13.5,44.0,21.720000000000027,67,99,2.12,YE,1698595936
155,belmonte,-15.8631,-38.8828,28.32000000000005,56,88,5.53,BR,1698595937
156,zaysan,47.4667,84.8667,3.730000000000018,98,100,1.35,KZ,1698595937
157,san luis,-33.295,-66.3356,27.83000000000004,12,0,7.2,AR,1698595888
158,iskateley,67.6803,53.1512,-8.879999999999995,86,100,5.81,RU,1698595938
159,tsiombe,-25.3,45.4833,25.629999999999995,68,2,4.89,MG,1698595939
160,safi,32.1667,-8.8333,19.920000000000016,55,96,4.74,MA,1698595940
161,hasaki,35.7333,140.8333,12.220000000000027,62,15,8.69,JP,1698595941
162,ilulissat,69.2167,-51.1,-3.9899999999999523,74,75,4.12,GL,1698595941
163,corumba,-19.0092,-57.6533,35.950000000000045,41,40,4.63,BR,1698595942
164,sao felix do xingu,-6.6447,-51.995,38.55000000000001,24,33,3.92,BR,1698595943
165,san luis de la loma,17.2706,-100.8939,28.930000000000007,72,91,1.2,MX,1698595943
166,afaahiti,-17.75,-149.2833,21.930000000000007,82,39,6.81,PF,1698595944
167,nikolayevsk-on-amure,53.1406,140.73,-2.359999999999957,91,8,1.44,RU,1698595944
168,cascais,38.6979,-9.4215,20.840000000000032,91,40,10.28,PT,1698595897
169,itoman,26.1247,127.6694,23.010000000000048,64,1,3.09,JP,1698595893
170,horsham,51.064,-0.3272,12.79000000000002,86,40,1.54,GB,1698595946
171,sola,-13.8833,167.55,25.660000000000025,81,29,4.31,VU,1698595946
172,swainsboro,32.5974,-82.3337,26.03000000000003,59,0,1.83,US,1698595947
173,palmas,-10.2128,-48.3603,32.93000000000001,58,40,3.09,BR,1698595948
174,kruisfontein,-34.0033,24.7314,13.600000000000023,57,6,5.85,ZA,1698595949
175,kapa'a,22.0752,-159.319,22.180000000000007,84,40,3.6,US,1698595949
176,la'ie,21.6477,-157.9253,23.57000000000005,81,7,3.21,US,1698595952
177,chiredzi,-21.05,31.6667,20.54000000000002,67,40,9.25,ZW,1698595953
178,dovhe,48.3653,23.279,11.650000000000034,90,66,1.74,UA,1698595953
179,sandnessjoen,66.0217,12.6316,-0.7099999999999795,86,20,2.06,NO,1698595954
180,rikaze,29.25,88.8833,6.310000000000002,48,99,2.83,CN,1698595954
181,colombo,6.9319,79.8478,24.470000000000027,91,100,3.05,LK,1698595955
182,maun,-19.9833,23.4167,33.98000000000002,21,0,2.06,BW,1698595956
183,iquique,-20.2208,-70.1431,20.82000000000005,68,56,4.26,CL,1698595677
184,west island,-12.1568,96.8225,25.99000000000001,83,100,8.75,CC,1698595957
185,kokpekty,48.75,82.4,1.0100000000000477,100,100,1.79,KZ,1698595958
186,turan,16.0678,108.2208,26.99000000000001,89,40,1.03,VN,1698595941
187,dudinka,69.4058,86.1778,-15.739999999999952,92,57,5.81,RU,1698595959
188,kavaratti,10.5669,72.642,28.77000000000004,67,87,1.06,IN,1698595959
189,hami,42.8,93.45,15.03000000000003,31,100,3.7,CN,1698595960
190,fortuna,40.5982,-124.1573,12.189999999999998,93,0,5.66,US,1698595960
